date,state,positive,negative,recovered,death,deathIncrease,negativeIncrease,positiveIncrease,total,posNeg,state_ch,state_en
3.18,AZ,28,148,0,0,0,6,8,278,176,亚利桑那州,Arizona
3.18,CA,611,7981,0,13,2,0,128,8592,8592,加利福尼亚州,California
3.18,CO,183,1617,0,2,1,561,23,1800,1800,科罗拉多州,Colorado
3.18,CT,68,125,0,0,0,0,27,193,193,康涅狄格州,Connecticut
3.18,DE,25,36,0,0,0,0,9,61,61,特拉华州,Delaware
3.18,FL,314,1225,0,7,1,285,128,2493,1539,佛罗里达州,Florida
3.18,GA,197,1311,0,1,0,1311,51,1508,1508,乔治亚州（佐治亚州）,Georgia
3.18,HI,14,93,0,0,0,93,4,107,107,夏威夷州,Hawaii
3.18,IA,29,83,0,0,0,0,6,112,112,爱荷华州（艾奥瓦州）（衣阿华州）,Iowa
3.18,ID,9,459,0,0,0,113,2,468,468,爱达荷州,Idaho
3.18,IL,288,1763,0,1,0,423,129,2051,2051,伊利诺斯州,Illinois
3.18,IN,39,154,0,2,0,25,9,193,193,印第安纳州,Indiana
3.18,KS,16,417,0,1,0,35,1,433,433,堪萨斯州,Kansas
3.18,KY,26,354,0,1,0,59,4,380,380,肯塔基州,Kentucky
3.18,LA,240,335,0,6,2,49,103,575,575,路易斯安那州,Louisiana
3.18,MA,156,2115,0,2,2,482,38,2271,2271,马萨诸塞州（麻省、麻州）,Massachusetts
3.18,MD,85,94,0,0,0,0,28,179,179,马里兰州,Maryland
3.18,ME,43,1670,0,0,0,367,11,1713,1713,缅因州,Maine
3.18,MI,2913,1215,0,0,0,589,520,4128,4128,密歇根州（密执安州）,Michigan
3.18,MN,77,2685,0,0,0,409,17,2762,2762,明尼苏达州,Minnesota
3.18,MO,13,253,0,0,0,46,5,266,266,密苏里州,Missouri
3.18,MS,34,479,0,0,0,111,13,513,513,密西西比州,Mississippi
3.18,MT,10,499,0,0,0,196,2,509,509,蒙大拿州,Montana
3.18,NC,63,1787,0,0,0,1313,23,1850,1850,北卡罗来纳州,North Carolina
3.18,ND,6,268,0,0,0,48,3,274,274,北达科他州,North Dakota
3.18,NE,24,206,0,0,0,0,3,230,230,内布拉斯加州,Nebraska
3.18,NH,26,513,0,0,0,158,9,747,539,新罕布什尔州（新罕布夏州）,New Hampshire Hampshire
3.18,NJ,427,190,0,5,2,27,160,638,617,新泽西州,New Jersey
3.18,NM,28,2326,0,0,0,1077,5,2354,2354,新墨西哥州,New Mexico
3.18,NV,55,168,0,1,0,0,0,223,223,内华达州,Nevada
3.18,NY,2382,12215,0,12,5,6709,682,14597,14597,纽约州,New York
3.18,OH,88,140,0,0,0,0,21,228,228,俄亥俄州,Ohio
3.18,OK,29,378,0,0,0,131,12,517,407,俄克拉荷马州,Oklahoma
3.18,OR,75,1118,0,3,3,429,28,1554,1193,俄勒冈州,Oregon
3.18,PA,133,1187,0,1,1,308,37,1320,1320,宾夕法尼亚州,Pennsylvania
3.18,RI,33,540,0,0,0,137,10,907,573,罗得岛州（罗德岛州）,Rhode Island
